,url,ingredients,instructions
0,https://www.loveandlemons.com/vegan-ramen/,"1 recipe Mushroom Broth
1 tablespoon rice vinegar
1 tablespoon mirin
2 tablespoons white miso paste
3 tablespoons extra-virgin olive oil
1 large or 2 medium baby bok choy, sliced into thin wedges
Sea salt
2 tablespoons water
Caps from 1 pound shiitake mushrooms, sliced
8 ounces dried ramen noodles
Baked tofu
Julienned daikon radish or carrot
1 bunch scallions, thinly sliced
Chili crisp (we like Trader Joe's brand), for serving
Tamari, for serving","Prepare the mushroom broth according to this recipe. After straining, season it with the rice vinegar and mirin. Scoop ¼ cup of the broth into a small bowl and add the miso paste. Whisk until smooth, then stir into the broth. Season to taste.
Meanwhile, heat 1 tablespoon of the olive oil in a large lidded skillet over medium heat. Add the bok choy in a single layer and sear for 1 to 2 minutes, or until browned underneath. Sprinkle with salt, add the water, toss, and cover. Cook until the bok choy is bright green and tender, about 1 minute. Remove from the pan and set aside.
Wipe out the pan and return it to the stove. Add the remaining 2 tablespoons olive oil and heat over medium heat. Add the mushrooms and a pinch of salt. Let cook for 2 minutes without stirring, then toss and cook, stirring occasionally, for 5 more minutes, or until tender and browned.
Cook the noodles according to the package instructions. Drain and divide among four bowls. Pour in broth to cover. Top with the bok choy, baked tofu, mushrooms, daikon, and scallions. Serve with chili crisp and tamari."
1,https://www.loveandlemons.com/mushroom-broth/,"2 medium yellow onions
2 tablespoons extra-virgin olive oil
Stems from 1 pound shiitake mushrooms
8 ounces cremini mushrooms, halved
10 cups water
1 garlic bulb, halved horizontally
1- inch piece fresh ginger, halved
½ ounce dried shiitake mushrooms
3 tablespoons tamari
1 teaspoon black peppercorns
3- inch piece kombu","Wash and dry the onions, then remove the onion skins and set them aside. Thinly slice the onions.
Heat the olive oil in a large stock pot over medium heat. Add the onions, shiitake stems, and cremini mushrooms and cook, stirring occasionally, for 10 minutes, or until the onions are soft and browned.
Add the water, onion skins, garlic bulb, ginger, dried mushrooms, tamari, and peppercorns. Bring to a boil over high heat, reduce the heat to low, and add the kombu. Cover and simmer for 1 hour. Strain and season to taste."
2,https://www.loveandlemons.com/broccolini/,"2 tablespoons extra-virgin olive oil
3 garlic cloves, thinly sliced
¼ teaspoon red pepper flakes
1 bunch broccolini, trimmed, halved lengthwise if thick (about 6 ounces)
¼ teaspoon sea salt, plus more to taste
2 tablespoons water
2 teaspoons fresh lemon juice","Heat the olive oil in a large lidded skillet over medium heat. Add the garlic and red pepper flakes and cook for 30 seconds, then add the broccolini and salt and toss.
Cook, tossing occasionally, for 2 minutes. Add the water, cover, reduce the heat, and cook for 3 to 5 minutes, tossing occasionally, or until tender and bright green.
Remove from the heat, toss with the lemon juice, and season to taste."
3,https://www.loveandlemons.com/pasta-fagioli/,"2 tablespoons extra-virgin olive oil, plus more for drizzling
1 medium yellow onion, diced
1 small fennel bulb or 2 celery ribs, finely chopped
2 medium carrots, finely chopped
1 teaspoon sea salt, plus more to taste
Freshly ground black pepper
3 garlic cloves, grated
1 tablespoon tomato paste
1 teaspoon chopped fresh rosemary
1 14-ounce can diced tomatoes
3 cups cooked cannellini beans, drained and rinsed
4 cups vegetable broth
Parmesan rind, optional
1 cup ditalini pasta, or other small pasta
2 large kale or Swiss chard leaves, stemmed and torn (about 6 cups)
Pinches of red pepper flakes","Heat the olive oil in a large pot or Dutch oven over medium heat. Add the onion, fennel, carrots, salt, and several grinds of pepper and cook, stirring occasionally, for 10 to 15 minutes, or until very soft.
Add the garlic, tomato paste, and rosemary and cook, stirring, for 1 minute. Add the tomatoes and their juices, the beans, broth, and Parmesan rind, if using. Simmer for 20 minutes.
Add the pasta and simmer for 10 more minutes, or until al dente. Stir in the kale and red pepper flakes and cook until the kale is wilted. Season to taste and serve."
4,https://www.loveandlemons.com/vegan-meatballs/,"16 ounces mixed cremini and shiitake mushrooms, stemmed and sliced
1 cup walnuts
½ cup coarsely chopped yellow onion
2 garlic cloves, grated
½ teaspoon sea salt, plus more for sprinkling
½ teaspoon freshly ground black pepper, plus more for sprinkling
½ teaspoon fennel seeds, toasted
½ teaspoon ground cumin
½ teaspoon smoked paprika
¼ teaspoon ground sage
1½ cups cooked black beans, drained and rinsed
¼ cup whole rolled oats
1 tablespoon extra-virgin olive oil, plus more for drizzling
1 tablespoon tomato paste
1 tablespoon ground flaxseed
1 tablespoon tamari
1 tablespoon balsamic vinegar
¾ cup panko bread crumbs
Avocado oil, for the pan
Marinara sauce, for serving (for store bought, we love Rao's)","Preheat the oven to 425°F and line a baking sheet with parchment paper.
Place the mushrooms on the baking sheet, drizzle with olive oil, sprinkle with salt and pepper, and toss to coat. Spread evenly on the baking sheet and roast for 20 minutes, or until slightly shriveled around the edges.
In a food processor, place the walnuts, onion, garlic, salt, pepper, fennel seed, cumin, paprika, and sage. Pulse until coarsely ground, then add the roasted mushrooms, black beans, oats, olive oil, tomato paste, flaxseed, tamari, and balsamic vinegar. Pulse until the mixture is well-combined but still has a few larger bean and mushroom chunks remaining.
Transfer the mixture to a large bowl and fold in the panko. Use a 2-tablespoon cookie scoop to portion the mixture, then use your hands to roll it into balls.
Heat a large cast-iron skillet over medium-high heat and coat the bottom with avocado oil. Add the vegan meatballs and cook, rotating the balls as they brown, until browned all around, about 5 minutes.
Transfer the skillet to the oven and bake for 20 minutes, or until the vegan meatballs are firm and lightly crisp around the edges.
Serve with marinara."
5,https://www.loveandlemons.com/vegan-pancakes/,"¾ cup whole wheat flour, spooned and leveled
½ cup all-purpose flour, spooned and leveled
1 tablespoon baking powder
½ teaspoon cinnamon
Heaping ¼ teaspoon sea salt
1 cup almond milk
1½ tablespoons avocado oil, plus more for the pan
1 tablespoon apple cider vinegar
1 tablespoon maple syrup, plus more for serving
1 teaspoon vanilla extract","In a large bowl, whisk together the whole wheat and all-purpose flours, the baking powder, cinnamon, and salt.
In a medium bowl, whisk together the almond milk, avocado oil, vinegar, maple syrup, and vanilla. Add the wet ingredients to the dry ingredients and mix until just combined. Set aside for 5 minutes. The mixture will get bubbly and foamy. Don’t stir at this stage so that the bubbles can stay mostly intact (this will help your vegan pancakes rise).
Heat a nonstick skillet to medium-low heat and brush with oil. Working in batches as necessary, use a ⅓-cup measuring cup to pour the batter into the skillet. Reduce the heat to low and cook for 2 to 2½ minutes on the first side, or until golden brown. Flip and cook for 1½ minutes on the second side, or until puffed and cooked through. Serve with maple syrup."
6,https://www.loveandlemons.com/buffalo-cauliflower-tacos/,"1 recipe Buffalo Cauliflower Wings, or Air Fryer Buffalo Cauliflower
Vegan ranch, for drizzling
8 tortillas, warmed
Avocado slices
Shredded red cabbage
Sliced jalapeño peppers
Chopped fresh cilantro
Lime wedges, for serving","Make the buffalo cauliflower and the vegan ranch dressing according to the recipes linked above.
Assemble tacos in the tortillas with the buffalo cauliflower, avocado slices, and cabbage. 
Top with jalapeños and cilantro and drizzle with vegan ranch. Serve with lime wedges for squeezing."
7,https://www.loveandlemons.com/air-fryer-buffalo-cauliflower/,"⅔ cup all-purpose flour, spooned and leveled
¼ cup cornstarch
1 teaspoon garlic powder
1 teaspoon onion powder
1 teaspoon paprika
½ teaspoon sea salt
¾ cup water
1 head cauliflower, about 2 pounds, broken into large florets
Buffalo Sauce, for brushing
Vegan Ranch, for dipping, optional","Preheat the air fryer to 400°F.
In a large bowl, whisk together the flour, cornstarch, garlic powder, onion powder, paprika, and salt. Add the water and whisk until smooth. Add the cauliflower and stir to coat.
Lift the cauliflower florets out of the batter, allowing any excess batter to drip back into the bowl. Arrange in a single layer in the air fryer basket, leaving a little space around each floret. Don’t crowd the basket. Work in batches as necessary.
Air fry for 9 minutes. Remove from the air fryer and use a spatula to carefully flip the florets. Brush with some of the buffalo sauce. Air fry for another 5 to 10 minutes, or until the cauliflower is dark and crisp around the edges.
Remove from the air fryer and brush with additional buffalo sauce. If desired, serve with vegan ranch for dipping."
8,https://www.loveandlemons.com/mushroom-risotto/,"4 tablespoons extra-virgin olive oil
1½ pounds mixed mushrooms, chopped
¾ teaspoon sea salt, plus more to taste
Freshly ground black pepper
1 medium yellow onion, chopped
2 garlic cloves, finely chopped
1 tablespoon fresh thyme leaves
1½ cups uncooked Arborio rice, rinsed
⅔ cup dry white wine
5 cups warmed vegetable broth
½ cup grated pecorino or Parmesan cheese*, plus more for serving
Chopped fresh parsley, for garnish","Heat 2 tablespoons of the olive oil in a Dutch oven or large, deep skillet over medium heat. Add the mushrooms, ½ teaspoon of the salt, and several grinds of pepper and toss to coat. Cook, stirring only occasionally, for 8 minutes, or until soft and browned. Remove from the pan and set aside. Work in batches if necessary.
Wipe out the pan and return it to the heat. Add the remaining 2 tablespoons olive oil, the onion, and the remaining ¼ teaspoon sea salt. Cook, stirring occasionally, for 5 to 8 minutes, or until softened. Stir in the garlic, thyme, and rice. Let cook for 1 minute, then add the wine. Stir and cook for 1 to 3 minutes, or until the wine cooks down.
Add the broth ¾ cup at a time, stirring constantly and allowing each addition of broth to be absorbed before adding the next. With the final addition of broth, stir two-thirds of the sautéed mushrooms into the risotto. Cook until the risotto is creamy and the rice has a slight al dente bite. Stir in the cheese and season to taste.
Top with the remaining sautéed mushrooms, garnish with parsley, and serve with more grated cheese, if desired."
9,https://www.loveandlemons.com/dip-recipes/,"3 jalapeño peppers, 2 left whole, 1 sliced in half crosswise
1 garlic clove, unpeeled
1½ cups thick whole milk Greek yogurt*
1 teaspoon onion powder
1 teaspoon sea salt, plus more for sprinkling
Heaping ¼ teaspoon smoked paprika
½ cup panko breadcrumbs
1½ teaspoons extra-virgin olive oil, plus more for drizzling
½ cup grated sharp cheddar cheese
Chopped chives, for garnish
Tortilla chips, for serving","Preheat the oven broiler and line a baking sheet with foil. Place the 2 whole jalapeños and 1 of the jalapeño halves on the baking sheet. Drizzle with olive oil and sprinkle with salt. Wrap the garlic clove in a piece of foil with a drizzle of olive oil and place on the baking sheet. Broil for 10 to 15 minutes, or until the jalapeños are soft and blistering.
Remove from the oven and set aside to cool. When the jalapeños are cool to the touch, use your hands (wearing gloves, if desired) to peel and remove the loose skin. Slice the peppers in half and remove the seeds and membranes. Finely chop the peppers. Remove the garlic from its papers and use the back of a chef’s knife to mash it into a paste.
In a medium bowl, stir together the yogurt, onion powder, salt, smoked paprika, garlic, and roasted jalapeños.
In a small bowl, toss the panko with the olive oil. Transfer the yogurt mixture to a small skillet or baking dish, top with the cheese, and sprinkle with the panko. Broil for 1 to 5 minutes, or until the topping is golden brown. The timing will depend on your broiler.
Remove from the oven. Thinly slice the remaining jalapeño half and sprinkle the slices over the dip. Top with chives and serve with tortilla chips."
10,https://www.loveandlemons.com/egg-muffins/,"Extra-virgin olive oil, for the pan
2 cups diced red bell pepper, about 2 medium
½ cup chopped scallions
9 large eggs
1 garlic clove, grated
Heaping ½ teaspoon sea salt
Freshly ground black pepper
3 tablespoons all-purpose flour
¾ teaspoon baking powder
⅓ cup crumbled feta cheese","Preheat the oven to 350°F.
Grease a nonstick muffin tin with olive oil and evenly divide the peppers and scallions among the muffin cups.
In a large bowl, whisk the eggs. Add the garlic, salt, and several grinds of pepper, then sprinkle the flour and baking powder on top. Whisk well to combine. It’s ok if a few clumps of flour remain in the mixture.
Divide the egg mixture evenly into the muffin cups (you’ll use about a scant ¼ cup in each one). Sprinkle the feta on top.
Bake for 22 to 24 minutes, or until the eggs are set. Let cool before removing from the pan."
11,https://www.loveandlemons.com/lentil-pasta/,"10 ounces pappardelle pasta
2 tablespoons extra-virgin olive oil, plus more for drizzling
½ medium yellow onion, diced
1 medium carrot, finely chopped
8 ounces cremini mushrooms, stemmed and finely chopped
3 garlic cloves, chopped
½ teaspoon sea salt
Freshly ground black pepper
1 teaspoon balsamic vinegar
1 teaspoon tamari
1½ cups cooked green or French green lentils, from ½ cup dry
24 ounces marinara sauce
½ cup Parmesan cheese or vegan Parmesan, for serving
Fresh parsley, for garnish","Bring a large pot of salted water to a boil and prepare the pasta according to the package instructions, cooking until al dente. Drain and toss with a drizzle of olive oil to prevent sticking. Set aside.
Heat the olive oil in a large skillet over medium heat. Add the onion and carrot and cook, stirring occasionally, for 5 to 8 minutes, or until softened. Add the mushrooms, garlic, salt, and several grinds of pepper and cook for another 5 to 8 minutes, stirring occasionally, or until the mushrooms are tender.
Stir in the balsamic and tamari, then add the lentils and marinara. Cook, stirring, for 2 minutes, or until the sauce is well-combined and heated through.
Add the pasta to the skillet and toss to combine. Portion onto plates and serve with Parmesan and fresh parsley for garnish."
